               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095273,            0.036442,            0.018149,             0.38601,             0.33061,             0.29778,             0.12219,            0.068551,            0.021955,           0.0041157,            0.070109,           0.0033212,           0.0033212
                   1,            0.071493,            0.037573,           0.0060527,             0.42715,             0.37159,             0.32365,             0.14167,            0.064175,            0.020478,           0.0050527,             0.03989,           0.0064349,           0.0064349
                   2,            0.068742,            0.037528,           0.0052689,             0.40895,             0.32544,             0.29506,             0.11523,            0.065931,            0.021495,           0.0066685,           0.0094503,           0.0093286,           0.0093286
                   3,            0.065104,            0.039405,           0.0068856,             0.40627,             0.34795,             0.32347,              0.1428,            0.061179,            0.021688,           0.0046165,             0.00901,             0.00901,             0.00901
                   4,            0.063674,            0.039695,           0.0057075,             0.50274,             0.35773,             0.33474,             0.14874,            0.063935,            0.022415,           0.0045747,             0.00901,             0.00901,             0.00901
                   5,            0.061371,            0.038177,           0.0050982,             0.52899,             0.43998,             0.41612,             0.20446,            0.059655,            0.021489,           0.0064131,             0.00868,             0.00868,             0.00868
                   6,            0.061022,            0.039329,           0.0045501,             0.59166,             0.39911,             0.42001,             0.21603,            0.057482,            0.021272,           0.0030454,             0.00835,             0.00835,             0.00835
                   7,            0.060006,             0.03989,           0.0043723,              0.5315,             0.41758,             0.42743,             0.21204,            0.057562,            0.021053,           0.0024407,             0.00802,             0.00802,             0.00802
                   8,            0.058888,             0.03872,           0.0037462,             0.57952,             0.40929,             0.43874,             0.22233,            0.056599,            0.021207,           0.0053354,             0.00769,             0.00769,             0.00769
                   9,            0.058544,            0.037905,           0.0041611,             0.61049,             0.41463,             0.45002,             0.22832,            0.057107,            0.021241,           0.0043835,             0.00736,             0.00736,             0.00736
                  10,            0.058128,            0.038749,           0.0034226,             0.56156,             0.43563,             0.44882,             0.23394,            0.057831,            0.020937,           0.0024626,             0.00703,             0.00703,             0.00703
                  11,            0.057057,            0.038306,           0.0033159,             0.58461,             0.43971,             0.46796,             0.24738,            0.057266,            0.020509,           0.0032733,              0.0067,              0.0067,              0.0067
                  12,            0.056864,            0.037575,           0.0033726,             0.53595,             0.46182,             0.47018,             0.25176,            0.056232,            0.020353,           0.0027429,             0.00637,             0.00637,             0.00637
                  13,            0.056645,            0.037918,           0.0028472,             0.57385,             0.44629,             0.47007,             0.24499,            0.055605,            0.020658,            0.003926,             0.00604,             0.00604,             0.00604
                  14,            0.056535,            0.037392,           0.0026272,             0.58062,              0.4292,             0.48156,             0.25021,            0.055807,            0.020189,           0.0018264,             0.00571,             0.00571,             0.00571
                  15,             0.05589,            0.036451,           0.0027474,             0.53108,             0.47921,             0.48413,             0.25837,            0.054744,            0.020798,           0.0016825,             0.00538,             0.00538,             0.00538
                  16,             0.05517,            0.037015,            0.002582,              0.5907,              0.4802,             0.50489,             0.27787,            0.054518,            0.020551,           0.0020281,             0.00505,             0.00505,             0.00505
                  17,            0.055294,            0.036805,           0.0027115,               0.616,             0.43821,             0.49321,             0.26361,            0.053608,            0.020183,           0.0031727,             0.00472,             0.00472,             0.00472
                  18,            0.054772,            0.036493,           0.0022621,             0.57566,             0.46761,             0.48624,             0.26223,            0.054274,            0.020176,           0.0023119,             0.00439,             0.00439,             0.00439
                  19,            0.054162,            0.036158,           0.0022759,             0.57968,             0.45691,             0.49515,             0.27749,             0.05388,            0.020092,           0.0026325,             0.00406,             0.00406,             0.00406
                  20,            0.053753,            0.035248,           0.0022022,             0.57884,             0.47527,             0.50467,             0.27474,             0.05334,            0.019591,           0.0028313,             0.00373,             0.00373,             0.00373
                  21,            0.054118,            0.036548,           0.0020179,             0.56907,             0.46876,             0.49047,             0.27276,            0.052948,            0.020011,           0.0027213,              0.0034,              0.0034,              0.0034
                  22,            0.052605,            0.035711,           0.0021879,             0.62855,             0.45299,             0.50986,             0.27748,            0.053165,            0.019693,             0.00289,             0.00307,             0.00307,             0.00307
                  23,            0.052889,            0.036024,           0.0018329,              0.5951,             0.50151,             0.51108,             0.28535,            0.053706,            0.019801,           0.0026226,             0.00274,             0.00274,             0.00274
                  24,            0.052561,            0.035368,           0.0017274,             0.60072,             0.47432,             0.51975,             0.28646,            0.052684,            0.019728,           0.0020828,             0.00241,             0.00241,             0.00241
                  25,            0.052676,            0.036182,           0.0016644,             0.65307,             0.46457,             0.52339,             0.29141,            0.052328,            0.019539,           0.0025215,             0.00208,             0.00208,             0.00208
                  26,            0.051979,            0.034719,           0.0015728,             0.69767,             0.45937,             0.52631,             0.30261,            0.051864,             0.01938,           0.0018881,             0.00175,             0.00175,             0.00175
                  27,            0.052302,             0.03505,           0.0015084,             0.66348,             0.44227,             0.52382,              0.2978,             0.05271,            0.019308,           0.0020147,             0.00142,             0.00142,             0.00142
                  28,            0.051774,            0.035367,           0.0013847,             0.65933,             0.47178,              0.5208,             0.29535,            0.052485,            0.019286,           0.0019092,             0.00109,             0.00109,             0.00109
                  29,            0.051228,            0.035192,           0.0015101,             0.63958,             0.48828,             0.53259,             0.30668,            0.052428,            0.019282,           0.0019294,             0.00076,             0.00076,             0.00076
