epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0729,1.52177,2.2384,1.41455,0.39735,0.34239,0.27443,0.13341,1.62013,2.65503,1.47908,0.000553639,0.000553639,0.000553639
2,119.732,1.62944,2.01182,1.47239,0.34692,0.31249,0.27118,0.14254,1.7758,2.18126,1.6312,0.0010727,0.0010727,0.0010727
3,172.327,1.65951,1.98536,1.49057,0.37632,0.2455,0.23869,0.11243,1.80744,2.38057,1.65679,0.00155508,0.00155508,0.00155508
4,224.751,1.68744,2.00228,1.51184,0.47111,0.29121,0.32509,0.15829,1.84504,2.17881,1.68947,0.00150197,0.00150197,0.00150197
5,276.729,1.63377,1.91584,1.49004,0.45785,0.33354,0.32245,0.16835,1.71131,2.44739,1.52229,0.00144696,0.00144696,0.00144696
6,329.227,1.60416,1.85274,1.4663,0.38794,0.39604,0.36569,0.18308,1.79035,2.10002,1.57488,0.00139195,0.00139195,0.00139195
7,384.058,1.55718,1.79848,1.43912,0.44389,0.37919,0.38131,0.20098,1.68573,1.97698,1.54096,0.00133693,0.00133693,0.00133693
8,436.203,1.53958,1.75894,1.42446,0.54283,0.35829,0.38337,0.20319,1.6681,1.94031,1.52313,0.00128192,0.00128192,0.00128192
9,487.984,1.51721,1.72995,1.409,0.51792,0.40619,0.42748,0.24364,1.58768,1.73627,1.43833,0.00122691,0.00122691,0.00122691
10,541.183,1.49498,1.71266,1.3897,0.50426,0.38983,0.40217,0.22418,1.61323,1.86642,1.43402,0.0011719,0.0011719,0.0011719
11,592.923,1.49442,1.68811,1.39193,0.51616,0.41212,0.42474,0.24236,1.53926,1.87459,1.42441,0.00111689,0.00111689,0.00111689
12,639.973,1.45408,1.64019,1.3694,0.5264,0.38405,0.41312,0.23458,1.53269,1.86918,1.40424,0.00106188,0.00106188,0.00106188
13,689.846,1.4512,1.61915,1.35806,0.51893,0.43582,0.44683,0.25775,1.60212,1.81075,1.45009,0.00100687,0.00100687,0.00100687
14,737.166,1.43862,1.58958,1.35185,0.53814,0.38315,0.43421,0.25469,1.54554,1.79266,1.41165,0.000951857,0.000951857,0.000951857
15,785.01,1.42106,1.56455,1.34667,0.5461,0.43058,0.46576,0.26794,1.51515,1.79259,1.38615,0.000896846,0.000896846,0.000896846
16,832.583,1.4074,1.54735,1.33534,0.53155,0.43844,0.4587,0.25922,1.47728,1.69703,1.37448,0.000841835,0.000841835,0.000841835
17,879.728,1.39401,1.52304,1.33494,0.48363,0.45145,0.45002,0.26609,1.45756,1.76239,1.37306,0.000786824,0.000786824,0.000786824
18,926.412,1.37097,1.50995,1.31993,0.56222,0.42784,0.45795,0.26652,1.44868,1.67857,1.36036,0.000731813,0.000731813,0.000731813
19,973.824,1.36433,1.50107,1.31293,0.57015,0.46068,0.47323,0.27926,1.49064,1.68535,1.37539,0.000676802,0.000676802,0.000676802
20,1021.18,1.34616,1.46874,1.30078,0.56789,0.44101,0.47209,0.27997,1.51094,1.67305,1.37946,0.000621791,0.000621791,0.000621791
21,1071.53,1.33606,1.48078,1.29425,0.6089,0.42654,0.4744,0.29201,1.42374,1.62565,1.34951,0.00056678,0.00056678,0.00056678
22,1117.57,1.33763,1.43968,1.28832,0.56812,0.47564,0.49051,0.30146,1.3207,1.50413,1.28493,0.000511769,0.000511769,0.000511769
23,1163.75,1.3152,1.39858,1.26872,0.56851,0.46472,0.49221,0.29913,1.41871,1.49906,1.35154,0.000456758,0.000456758,0.000456758
24,1209.88,1.29086,1.36433,1.26339,0.52289,0.47002,0.47838,0.29265,1.37719,1.59312,1.31107,0.000401747,0.000401747,0.000401747
25,1254.99,1.27905,1.34142,1.24668,0.57245,0.50283,0.50814,0.30722,1.33537,1.45838,1.27945,0.000346736,0.000346736,0.000346736
26,1300.17,1.26141,1.31167,1.24131,0.61694,0.45806,0.51102,0.31197,1.3289,1.44958,1.27841,0.000291725,0.000291725,0.000291725
27,1345.27,1.24807,1.29444,1.23126,0.59024,0.49102,0.51051,0.32126,1.30393,1.39798,1.25228,0.000236714,0.000236714,0.000236714
28,1391.4,1.23129,1.26258,1.22133,0.5382,0.48236,0.51707,0.32282,1.30493,1.41659,1.25011,0.000181703,0.000181703,0.000181703
29,1435.71,1.22657,1.24689,1.21897,0.56691,0.48834,0.51964,0.32843,1.31208,1.405,1.25414,0.000126692,0.000126692,0.000126692
30,1484.26,1.2066,1.22644,1.213,0.57561,0.49492,0.52153,0.32718,1.30239,1.37112,1.2509,7.1681e-05,7.1681e-05,7.1681e-05
